method,region,roi,sensitivity,specificity,PPV,NPV,subject
SPM,ROI 2,10,4.619076184763047,95.90509454414068,18.4652278177458,83.35601381764891,C8
SPM,ROI 2,10,98.2209953224446,56.587473002159825,77.97528459243928,95.31123686337916,C9
SCC,ROI 2,40,99.9498603251916,53.14408911246856,78.10366058435017,99.84248424842484,C1
SCC,ROI 2,40,99.8859749144812,53.351012536162,80.29330889092576,99.5949594959496,C10
SCC,ROI 2,40,99.91690104832524,53.11675857108607,79.98669532289428,99.70747074707472,C11
SCC,ROI 2,40,99.934088321649,53.25564632388274,81.08318343137732,99.75247524752476,C12
SCC,ROI 2,40,99.84830097087378,53.369565217391305,80.9952746603662,99.43744374437443,C13
SCC,ROI 2,40,99.7278693773011,53.61894300012205,83.10360160071143,98.85238523852384,C14
SCC,ROI 2,40,99.84775269742502,53.30359295876538,79.56955214432664,99.48244824482448,C15
SCC,ROI 2,40,99.93022075615326,53.41607422581034,80.29461236556399,99.75247524752476,C16
SCC,ROI 2,40,99.92683640620427,53.20374370050395,77.78790295022212,99.77497749774976,C17
SCC,ROI 2,40,99.9114984001634,52.68727705112961,78.67059769498795,99.70747074707472,C18
SCC,ROI 2,40,99.85589047676234,53.484995159728946,81.2249682524177,99.45994599459948,C19
SCC,ROI 2,40,99.91139585605234,53.722114451988354,79.3407663996536,99.70747074707472,C2
SCC,ROI 2,40,99.79348595704508,53.442424242424245,81.49272429411198,99.21242124212422,C20
SCC,ROI 2,40,99.91551675584344,52.78075503155889,78.16269207468194,99.72997299729973,C21
SCC,ROI 2,40,99.87376635299518,53.30922242314647,81.79895671789087,99.5049504950495,C22
SCC,ROI 2,40,99.84282221446036,53.46810313521365,81.69087878066206,99.3924392439244,C23
SCC,ROI 2,40,99.93577392421324,53.21574274058075,78.22152711836006,99.7974797479748,C24
SCC,ROI 2,40,99.88518168310144,53.08153477218226,79.07710405304246,99.6174617461746,C25
SCC,ROI 2,40,99.73402571084794,53.19637462235649,80.2619508714708,99.05490549054905,C3
SCC,ROI 2,40,99.8975471584403,53.28598940779972,81.02849880236593,99.6174617461746,C4
SCC,ROI 2,40,99.91776835979506,53.21244145550619,80.21531586431038,99.70747074707472,C5
SCC,ROI 2,40,99.96331621423332,52.85782329125982,77.48521383075523,99.88748874887489,C6
SCC,ROI 2,40,99.8466053087902,53.02230750779563,79.26196526895384,99.48244824482448,C7
SCC,ROI 2,40,99.93162180642756,53.39034084066,80.59761355660284,99.75247524752476,C8
SCC,ROI 2,40,99.89455647818636,53.1317494600432,79.51112043642468,99.63996399639964,C9
